orgName,venueName,address,cityName,postcode,stateName,countryName,categoryName,menuItemName,cost,genericDishName,toppingName
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,pork
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,onion
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,bbq
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,pork
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,onion
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,bbq
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Barbeque Pizza__Nobody's Sports Grill and Bbq__37129,10.99,others,cheese
